Country,Highest level of education attained by adult (%),Highest level of education attained by adult,Either parent level of education
France,49,Upper Secondary,Either Parent - Below Upper Secondary
Germany,50.9,Upper Secondary,Either Parent - Below Upper Secondary
Greece,46.9,Upper Secondary,Either Parent - Below Upper Secondary
Ireland,43,Upper Secondary,Either Parent - Below Upper Secondary
Israel,49.2,Upper Secondary,Either Parent - Below Upper Secondary
Italy,37.5,Upper Secondary,Either Parent - Below Upper Secondary
Netherlands,42.9,Upper Secondary,Either Parent - Below Upper Secondary
New Zealand,33.9,Upper Secondary,Either Parent - Below Upper Secondary
Norway,40.4,Upper Secondary,Either Parent - Below Upper Secondary
Poland,69.4,Upper Secondary,Either Parent - Below Upper Secondary
Slovenia,55.1,Upper Secondary,Either Parent - Below Upper Secondary
Spain,22.4,Upper Secondary,Either Parent - Below Upper Secondary
Sweden,55.6,Upper Secondary,Either Parent - Below Upper Secondary
Turkey,19.9,Upper Secondary,Either Parent - Below Upper Secondary
United Kingdom,40.2,Upper Secondary,Either Parent - Below Upper Secondary
Northern Ireland,37.1,Upper Secondary,Either Parent - Below Upper Secondary
United States,58.1,Upper Secondary,Either Parent - Below Upper Secondary
OECD average,48.1,Upper Secondary,Either Parent - Below Upper Secondary
Lithuania,72.8,Upper Secondary,Either Parent - Below Upper Secondary
Australia,29,Tertiary,Either Parent - Below Upper Secondary
Austria,9.3,Tertiary,Either Parent - Below Upper Secondary
Belgium,25.8,Tertiary,Either Parent - Below Upper Secondary
Canada,41.6,Tertiary,Either Parent - Below Upper Secondary
Chile,12.5,Tertiary,Either Parent - Below Upper Secondary
Czech Republic,2.5,Tertiary,Either Parent - Below Upper Secondary
Denmark,30.4,Tertiary,Either Parent - Below Upper Secondary
Estonia,20.7,Tertiary,Either Parent - Below Upper Secondary
Finland,38.8,Tertiary,Either Parent - Below Upper Secondary
France,24.5,Tertiary,Either Parent - Below Upper Secondary
Germany,9.9,Tertiary,Either Parent - Below Upper Secondary
Greece,18.5,Tertiary,Either Parent - Below Upper Secondary
Ireland,27.8,Tertiary,Either Parent - Below Upper Secondary
Israel,29.9,Tertiary,Either Parent - Below Upper Secondary
Italy,8.2,Tertiary,Either Parent - Below Upper Secondary
Netherlands,26,Tertiary,Either Parent - Below Upper Secondary
New Zealand,40.9,Tertiary,Either Parent - Below Upper Secondary
Norway,29.1,Tertiary,Either Parent - Below Upper Secondary
Poland,15,Tertiary,Either Parent - Below Upper Secondary
Slovenia,13.3,Tertiary,Either Parent - Below Upper Secondary
Spain,28.4,Tertiary,Either Parent - Below Upper Secondary
Sweden,23.7,Tertiary,Either Parent - Below Upper Secondary
Turkey,11.7,Tertiary,Either Parent - Below Upper Secondary
United Kingdom,24.7,Tertiary,Either Parent - Below Upper Secondary
Northern Ireland,18.8,Tertiary,Either Parent - Below Upper Secondary
United States,7.8,Tertiary,Either Parent - Below Upper Secondary
OECD average,22.2,Tertiary,Either Parent - Below Upper Secondary
Lithuania,7.8,Tertiary,Either Parent - Below Upper Secondary
Australia,18,Below Upper Secondary,Either Parent - Upper Secondary
Austria,10.6,Below Upper Secondary,Either Parent - Upper Secondary
Belgium,6.7,Below Upper Secondary,Either Parent - Upper Secondary
Canada,6.9,Below Upper Secondary,Either Parent - Upper Secondary
Chile,15.8,Below Upper Secondary,Either Parent - Upper Secondary
Czech Republic,6.1,Below Upper Secondary,Either Parent - Upper Secondary
Denmark,13.8,Below Upper Secondary,Either Parent - Upper Secondary
Estonia,12.2,Below Upper Secondary,Either Parent - Upper Secondary
Finland,6.2,Below Upper Secondary,Either Parent - Upper Secondary
France,8.5,Below Upper Secondary,Either Parent - Upper Secondary
Germany,7.5,Below Upper Secondary,Either Parent - Upper Secondary
Greece,8.6,Below Upper Secondary,Either Parent - Upper Secondary
Ireland,9.7,Below Upper Secondary,Either Parent - Upper Secondary
Israel,6.1,Below Upper Secondary,Either Parent - Upper Secondary
Italy,13.4,Below Upper Secondary,Either Parent - Upper Secondary
Netherlands,13.2,Below Upper Secondary,Either Parent - Upper Secondary
New Zealand,10.5,Below Upper Secondary,Either Parent - Upper Secondary
Norway,16.1,Below Upper Secondary,Either Parent - Upper Secondary
Poland,4.7,Below Upper Secondary,Either Parent - Upper Secondary
Slovenia,8.6,Below Upper Secondary,Either Parent - Upper Secondary
Spain,23.6,Below Upper Secondary,Either Parent - Upper Secondary
Sweden,14.2,Below Upper Secondary,Either Parent - Upper Secondary
Turkey,15.3,Below Upper Secondary,Either Parent - Upper Secondary
United Kingdom,15.1,Below Upper Secondary,Either Parent - Upper Secondary
Northern Ireland,18.4,Below Upper Secondary,Either Parent - Upper Secondary
United States,6.9,Below Upper Secondary,Either Parent - Upper Secondary
OECD average,10.7,Below Upper Secondary,Either Parent - Upper Secondary
Lithuania,14.2,Below Upper Secondary,Either Parent - Upper Secondary
Australia,44.9,Upper Secondary,Either Parent - Upper Secondary
Austria,72,Upper Secondary,Either Parent - Upper Secondary
Belgium,51.9,Upper Secondary,Either Parent - Upper Secondary
Canada,41.4,Upper Secondary,Either Parent - Upper Secondary
Chile,46.8,Upper Secondary,Either Parent - Upper Secondary
Czech Republic,77.1,Upper Secondary,Either Parent - Upper Secondary
Denmark,49.5,Upper Secondary,Either Parent - Upper Secondary
Estonia,47.7,Upper Secondary,Either Parent - Upper Secondary
Finland,46.6,Upper Secondary,Either Parent - Upper Secondary
France,51,Upper Secondary,Either Parent - Upper Secondary
Germany,66.3,Upper Secondary,Either Parent - Upper Secondary
Greece,49.8,Upper Secondary,Either Parent - Upper Secondary
Ireland,45.4,Upper Secondary,Either Parent - Upper Secondary
Israel,44.1,Upper Secondary,Either Parent - Upper Secondary
Italy,54.7,Upper Secondary,Either Parent - Upper Secondary
Netherlands,46.3,Upper Secondary,Either Parent - Upper Secondary
New Zealand,39.6,Upper Secondary,Either Parent - Upper Secondary
Norway,45.5,Upper Secondary,Either Parent - Upper Secondary
Poland,60.7,Upper Secondary,Either Parent - Upper Secondary
Slovenia,57.7,Upper Secondary,Either Parent - Upper Secondary
Spain,29.6,Upper Secondary,Either Parent - Upper Secondary
Sweden,52.8,Upper Secondary,Either Parent - Upper Secondary
Turkey,33.5,Upper Secondary,Either Parent - Upper Secondary
United Kingdom,40.4,Upper Secondary,Either Parent - Upper Secondary
Northern Ireland,41.7,Upper Secondary,Either Parent - Upper Secondary
United States,58.5,Upper Secondary,Either Parent - Upper Secondary
OECD average,50.2,Upper Secondary,Either Parent - Upper Secondary
Lithuania,67,Upper Secondary,Either Parent - Upper Secondary
Australia,37.2,Tertiary,Either Parent - Upper Secondary
Austria,17.3,Tertiary,Either Parent - Upper Secondary
Belgium,41.4,Tertiary,Either Parent - Upper Secondary
Canada,51.6,Tertiary,Either Parent - Upper Secondary
Chile,37.4,Tertiary,Either Parent - Upper Secondary
Czech Republic,16.7,Tertiary,Either Parent - Upper Secondary
Denmark,36.7,Tertiary,Either Parent - Upper Secondary
Estonia,40,Tertiary,Either Parent - Upper Secondary
Finland,47.2,Tertiary,Either Parent - Upper Secondary
France,40.5,Tertiary,Either Parent - Upper Secondary
Germany,26.3,Tertiary,Either Parent - Upper Secondary
Greece,41.6,Tertiary,Either Parent - Upper Secondary
Ireland,45,Tertiary,Either Parent - Upper Secondary
Israel,49.9,Tertiary,Either Parent - Upper Secondary
Italy,31.9,Tertiary,Either Parent - Upper Secondary
Netherlands,40.5,Tertiary,Either Parent - Upper Secondary
New Zealand,49.9,Tertiary,Either Parent - Upper Secondary
Norway,38.4,Tertiary,Either Parent - Upper Secondary
Poland,34.6,Tertiary,Either Parent - Upper Secondary
Slovenia,33.8,Tertiary,Either Parent - Upper Secondary
Spain,46.8,Tertiary,Either Parent - Upper Secondary
Sweden,33,Tertiary,Either Parent - Upper Secondary
Turkey,51.3,Tertiary,Either Parent - Upper Secondary
United Kingdom,44.5,Tertiary,Either Parent - Upper Secondary
Northern Ireland,39.9,Tertiary,Either Parent - Upper Secondary
United States,34.6,Tertiary,Either Parent - Upper Secondary
OECD average,39.1,Tertiary,Either Parent - Upper Secondary
Lithuania,18.8,Tertiary,Either Parent - Upper Secondary
Australia,6,Below Upper Secondary,Either Parent - Tertiary
Austria,5.2,Below Upper Secondary,Either Parent - Tertiary
Belgium,2.2,Below Upper Secondary,Either Parent - Tertiary
Canada,2.8,Below Upper Secondary,Either Parent - Tertiary
Chile,3.6,Below Upper Secondary,Either Parent - Tertiary
Czech Republic,2.4,Below Upper Secondary,Either Parent - Tertiary
Denmark,8.6,Below Upper Secondary,Either Parent - Tertiary
Estonia,6.5,Below Upper Secondary,Either Parent - Tertiary
Finland,3.6,Below Upper Secondary,Either Parent - Tertiary
France,3.7,Below Upper Secondary,Either Parent - Tertiary
Germany,5.3,Below Upper Secondary,Either Parent - Tertiary
Greece,1.5,Below Upper Secondary,Either Parent - Tertiary
Ireland,3.1,Below Upper Secondary,Either Parent - Tertiary
Israel,2.2,Below Upper Secondary,Either Parent - Tertiary
Italy,5.9,Below Upper Secondary,Either Parent - Tertiary
Netherlands,8.6,Below Upper Secondary,Either Parent - Tertiary
New Zealand,7.2,Below Upper Secondary,Either Parent - Tertiary
Norway,8.6,Below Upper Secondary,Either Parent - Tertiary
Poland,1.3,Below Upper Secondary,Either Parent - Tertiary
Slovenia,3.1,Below Upper Secondary,Either Parent - Tertiary
Spain,10.7,Below Upper Secondary,Either Parent - Tertiary
Sweden,6,Below Upper Secondary,Either Parent - Tertiary
Turkey,10.1,Below Upper Secondary,Either Parent - Tertiary
United Kingdom,5.1,Below Upper Secondary,Either Parent - Tertiary
Northern Ireland,2.2,Below Upper Secondary,Either Parent - Tertiary
United States,3.3,Below Upper Secondary,Either Parent - Tertiary
OECD average,4.9,Below Upper Secondary,Either Parent - Tertiary
Lithuania,4.6,Below Upper Secondary,Either Parent - Tertiary
Australia,24.7,Upper Secondary,Either Parent - Tertiary
Austria,54.4,Upper Secondary,Either Parent - Tertiary
Belgium,26.3,Upper Secondary,Either Parent - Tertiary
Canada,24.2,Upper Secondary,Either Parent - Tertiary
Chile,21.7,Upper Secondary,Either Parent - Tertiary
Czech Republic,34.6,Upper Secondary,Either Parent - Tertiary
Denmark,24.3,Upper Secondary,Either Parent - Tertiary
Estonia,35.4,Upper Secondary,Either Parent - Tertiary
Finland,29.1,Upper Secondary,Either Parent - Tertiary
France,20.1,Upper Secondary,Either Parent - Tertiary
Germany,37.9,Upper Secondary,Either Parent - Tertiary
Greece,30.3,Upper Secondary,Either Parent - Tertiary
Ireland,25.8,Upper Secondary,Either Parent - Tertiary
Israel,22,Upper Secondary,Either Parent - Tertiary
Italy,29.1,Upper Secondary,Either Parent - Tertiary
Netherlands,28.7,Upper Secondary,Either Parent - Tertiary
New Zealand,22.8,Upper Secondary,Either Parent - Tertiary
Norway,27.6,Upper Secondary,Either Parent - Tertiary
Poland,19.3,Upper Secondary,Either Parent - Tertiary
Slovenia,36.7,Upper Secondary,Either Parent - Tertiary
Spain,20.8,Upper Secondary,Either Parent - Tertiary
Sweden,41,Upper Secondary,Either Parent - Tertiary
Turkey,16.8,Upper Secondary,Either Parent - Tertiary
United Kingdom,18.3,Upper Secondary,Either Parent - Tertiary
Northern Ireland,22.9,Upper Secondary,Either Parent - Tertiary
United States,34.6,Upper Secondary,Either Parent - Tertiary
OECD average,27.7,Upper Secondary,Either Parent - Tertiary
Lithuania,42,Upper Secondary,Either Parent - Tertiary
Australia,69.3,Tertiary,Either Parent - Tertiary
Austria,40.4,Tertiary,Either Parent - Tertiary
Belgium,71.5,Tertiary,Either Parent - Tertiary
Canada,72.9,Tertiary,Either Parent - Tertiary
Chile,74.7,Tertiary,Either Parent - Tertiary
Czech Republic,63,Tertiary,Either Parent - Tertiary
Denmark,67.1,Tertiary,Either Parent - Tertiary
Estonia,58.1,Tertiary,Either Parent - Tertiary
Finland,67.3,Tertiary,Either Parent - Tertiary
France,76.2,Tertiary,Either Parent - Tertiary
Germany,56.8,Tertiary,Either Parent - Tertiary
Greece,68.1,Tertiary,Either Parent - Tertiary
Ireland,71.1,Tertiary,Either Parent - Tertiary
Israel,75.8,Tertiary,Either Parent - Tertiary
Italy,65,Tertiary,Either Parent - Tertiary
Netherlands,62.7,Tertiary,Either Parent - Tertiary
New Zealand,70,Tertiary,Either Parent - Tertiary
Norway,63.8,Tertiary,Either Parent - Tertiary
Poland,79.4,Tertiary,Either Parent - Tertiary
Slovenia,60.2,Tertiary,Either Parent - Tertiary
Spain,68.6,Tertiary,Either Parent - Tertiary
Sweden,53.1,Tertiary,Either Parent - Tertiary
Turkey,73.1,Tertiary,Either Parent - Tertiary
United Kingdom,76.6,Tertiary,Either Parent - Tertiary
Northern Ireland,74.9,Tertiary,Either Parent - Tertiary
United States,62.2,Tertiary,Either Parent - Tertiary
OECD average,67.7,Tertiary,Either Parent - Tertiary
Lithuania,53.5,Tertiary,Either Parent - Tertiary
